0|1|2|3
Alfalah GHP Islamic Prosperity Planning Fund (Alfalah GHP Islamic Active Allocation Plan III)|Shariah Compliant Fund of Funds|June 24, 2017|74,068
Alfalah GHP Islamic Prosperity Planning Fund (Alfalah GHP Islamic Balance Allocation Plan)|Shariah Compliant Fund of Funds|June 11, 2016|210,422
Alfalah GHP Islamic Prosperity Planning Fund (Alfalah GHP Islamic Moderate Allocation Plan)|Shariah Compliant Fund of Funds|June 11, 2016|63,562
Alfalah GHP Islamic Prosperity Planning Fund (Capital Preservation Plan IV)|Shariah Compliant Fund of Funds - CPPI|July 13, 2018|50,789
Alfalah GHP Islamic Prosperity Planning Fund (Capital Preservation Plan V)|Shariah Compliant Fund of Funds - CPPI|December 17, 2018|25,320
Alfalah GHP Islamic Stock Fund|Shariah Compliant Equity|September 03, 2007|2,284,296
Alfalah GHP Islamic Value Fund|Shariah Compliant Asset Allocation|October 12, 2017|2,298,655
Alfalah GHP Money Market Fund|Money Market|May 27, 2010|26,673,174
Alfalah GHP Prosperity Planning Fund (Alfalah GHP Active Allocation Plan)|Fund of Funds|September 12, 2015|180,743
Alfalah GHP Prosperity Planning Fund (Alfalah GHP Conservative Allocation Plan)|Fund of Funds|September 12, 2015|192,678
Alfalah GHP Prosperity Planning Fund (Alfalah GHP Moderate Allocation Plan)|Fund of Funds|September 12, 2015|171,890
Alfalah GHP Sovereign Fund|Income|May 10, 2014|848,038
Alfalah GHP Stock Fund|Equity|July 15, 2008|2,266,065
Alfalah GHP Value Fund|Asset Allocation|October 28, 2005|600,285
Alfalah Islamic Rozana Amdani Fund|Shariah Compliant Money Market|September 21, 2020|4,809,173
Sub Total|55,598,419||
Atlas Asset Management Limited|||
Atlas Income Fund|Income|March 22, 2004|5,294,714
Atlas Islamic Fund of Funds (Atlas Aggressive Allocation Islamic Plan)|Shariah Compliant Fund of Funds|January 07, 2019|131,818
Atlas Islamic Fund of Funds (Atlas Conservative Allocation Islamic Plan)|Shariah Compliant Fund of Funds|January 07, 2019|139,993
Atlas Islamic Fund of Funds (Atlas Islamic Capital Preservation Plan II)|Shariah Compliant Fund of Funds - CPPI|August 31, 2021|Not Published
Atlas Islamic Fund of Funds (Atlas Islamic Dividend Plan)|Shariah Compliant Fund of Funds - Income|March 16, 2020|27,299
Atlas Islamic Fund of Funds (Atlas Moderate Allocation Islamic Plan)|Shariah Compliant Fund of Funds|January 07, 2019|135,244
Atlas Islamic Income Fund|Shariah Compliant Income|October 14, 2008|1,658,058
Atlas Islamic Money Market Fund|Shariah Compliant Money Market|January 07, 2021|885,060
Atlas Islamic Stock Fund|Shariah Compliant Equity|January 15, 2007|2,781,909
Atlas Money Market Fund|Money Market|January 21, 2010|21,439,781
Atlas Sovereign Fund|Income|December 01, 2014|2,492,135
Atlas Stock Market Fund|Equity|November 23, 2004|10,112,064
Sub Total|45,098,075||
AWT Investments Limited (Formerly: Primus Investment Management  Limited)|||
AWT Income Fund|Income|August 08, 2012|1,789,981
AWT Islamic Income Fund|Shariah Compliant Income|March 04, 2014|178,425
AWT Islamic Stock Fund|Shariah Compliant Equity|March 04, 2014|103,277
AWT Money Market Fund|Money Market|April 12, 2016|Not Published
AWT Stock Fund|Equity|March 13, 2015|99,248
Sub Total|2,170,931||
786 Investments Limited (Formerly: Dawood Capital Management Limited)|||
786 Smart Fund (Formerly: Dawood Income Fund)|Shariah Compliant Income|May 20, 2003|751,334
Sub Total|751,334||
BMA Asset Management Company Limited (BMA Funds)|||
BMA Chundrigar Road Savings Fund|Aggressive Fixed Income|August 23, 2007|113,579
BMA Empress Cash Fund|Money Market|November 10, 2009|309,136
Sub Total|422,715||
Faysal Asset Management Limited|||
Faysal Asset Allocation Fund|Asset Allocation|July 24, 2006|327,999
Faysal Cash Fund|Money Market|December 22, 2020|103,846
Faysal Financial Planning Fund (Faysal Active Principal Preservation Plan)|Fund of Funds - CPPI|December 19, 2019|563,175
Faysal Financial Sector Opportunity Fund|Income|July 05, 2013|777,387
Faysal Financial Value Fund|Asset Allocation|December 30, 2019|1,882,508
Faysal Government Securities Fund|Income|March 16, 2020|96,195
Faysal Halal Amdani Fund|Shariah Compliant Money Market|October 10, 2019|14,045,685
Faysal Income & Growth Fund|Aggressive Fixed Income|October 10, 2005|1,007,234
Faysal Islamic Asset Allocation Fund|Shariah Compliant Asset Allocation|September 09, 2015|2,686,153
Faysal Islamic Cash Fund|Shariah Compliant Money Market|August 11, 2020|10,765,230
Faysal Islamic Financial Planning Fund (Faysal Sharia Capital Preservation Plan III)|Shariah Compliant Fund of Funds - CPPI|March 30, 2020|1,252,968
Faysal Islamic Financial Planning Fund (Faysal Sharia Capital Preservation Plan IV)|Shariah Compliant Fund of Funds - CPPI|July 24, 2020|440,197
Faysal Islamic Financial Planning Fund (Faysal Sharia Capital Preservation Plan V)|Shariah Compliant Fund of Funds - CPPI|October 15, 2020|989,211
Faysal Islamic Financial Planning Fund (Faysal Sharia Capital Preservation Plan VI)|Shariah Compliant Fund of Funds - CPPI|December 29, 2020|1,450,865
Faysal Islamic Financial Planning Fund (Faysal Sharia Capital Preservation Plan VII)|Shariah Compliant Fund of Funds - CPPI|April 16, 2021|3,063,215
Faysal Islamic Financial Planning Fund (Faysal Sharia Capital Preservation Plan VIII)|Shariah Compliant Fund of Funds - CPPI|April 15, 2021|Not Published
Faysal Islamic Savings Growth Fund|Shariah Compliant Income|June 16, 2010|3,905,483
Faysal Islamic Stock Fund|Shariah Compliant Equity|July 24, 2020|771,310
Faysal Money Market Fund|Money Market|December 13, 2010|7,444,269
Faysal MTS Fund|Income|April 11, 2016|5,889,540
Faysal Savings Growth Fund|Income|May 11, 2007|2,655,255
Faysal Sharia Planning Fund (Faysal Sharia Capital Preservation Plan II)|Shariah Compliant Fund of Funds - CPPI|September 27, 2019|894,346
Faysal Sharia Planning Fund (Faysal Sharia Capital Preservation Plan)|Shariah Compliant Fund of Funds - CPPI|July 09, 2019|267,202
Faysal Stock Fund|Equity|April 19, 2004|2,587,096
Sub Total|63,866,367||
First Capital Investments Limited|||
First Capital Mutual Fund|Equity|May 24, 1995|123,912
Sub Total|123,912||
HBL Asset Management Limited|||
HBL Cash Fund|Money Market|December 13, 2010|24,406,989
HBL Energy Fund|Equity|January 20, 2006|745,015
HBL Equity Fund|Equity|September 26, 2011|2,137,300
HBL Financial Planning Fund (Active Allocation Plan)|Fund of Funds|October 11, 2017|46,652
HBL Financial Planning Fund (Conservative Allocation Plan)|Fund of Funds|October 11, 2017|52,609
HBL Financial Planning Fund (Special Income Plan)|Fund of Funds|September 16, 2019|82,683
HBL Government Securities Fund|Income|July 24, 2010|1,047,485
HBL Growth Fund−Class A   (Formerly PICIC Growth Fund)|Equity|July 02, 2018|6,787,422
HBL Income Fund|Income|February 19, 2007|2,433,603
HBL Investment Fund−Class A (Formerly PICIC Investment Fund)|Equity|July 02, 2018|2,464,954
HBL Islamic Asset Allocation Fund|Shariah Compliant Asset Allocation|January 11, 2016|393,888
HBL Islamic Asset Allocation Fund Plan I|Shariah Compliant Asset Allocation|July 14, 2020|2,589,489
HBL Islamic Equity Fund|Shariah Compliant Equity|May 29, 2014|534,898
HBL Islamic Financial Planning Fund (Active Allocation Plan)|Shariah Compliant Fund of Funds|June 19, 2017|50,992
HBL Islamic Financial Planning Fund (Conservative Allocation Plan)|Shariah Compliant Fund of Funds|June 19, 2017|50,855
HBL Islamic Income Fund|Shariah Compliant Income|May 29, 2014|1,045,434
HBL Islamic Money Market Fund|Shariah Compliant Money Market|May 09, 2011|6,692,045
HBL Islamic Stock Fund|Shariah Compliant Equity|May 09, 2011|728,206
HBL Money Market Fund|Money Market|July 15, 2010|12,102,115
HBL Multi Asset Fund|Balanced|November 08, 2007|200,518
HBL Stock Fund|Equity|August 23, 2007|932,223
Sub Total|65,525,376||
JS Investments Limited|||
JS Cash Fund|Money Market|March 29, 2010|8,801,355
JS Fund of Funds|Fund of Funds|October 31, 2005|260,129
JS Growth Fund|Equity|June 06, 2006|1,855,504
JS Income Fund|Income|August 26, 2002|1,537,938
JS Islamic  Hybrid Fund of Funds (JS Islamic Capital Preservation Allocation Plan VIII)|Shariah Compliant Fund of Funds - CPPI|December 27, 2019|428,139
JS Islamic  Hybrid Fund of Funds III  (JS Islamic Capital Preservation Allocation Plan VI)|Shariah Compliant Fund of Funds - CPPI|April 25, 2019|375,969
JS Islamic Daily Dividend Fund|Shariah Compliant Money Market|September 03, 2020|105,677
JS Islamic Fund|Shariah Compliant Equity|December 27, 2002|459,696
JS Islamic Hybrid Fund of Funds (Mufeed)|Shariah Compliant Fund of Funds|June 07, 2017|4,101
JS Islamic Hybrid Fund of Funds (Mustahkem)|Shariah Compliant Fund of Funds|June 07, 2017|288
JS Islamic Hybrid Fund of Funds (Mutanasib)|Shariah Compliant Fund of Funds|June 07, 2017|10,872
JS Islamic Hybrid Fund of Funds III  (JS Islamic Capital Preservation Allocation Plan IX)|Shariah Compliant Fund of Funds - CPPI|February 17, 2020|105,822
JS Islamic Hybrid Fund of Funds III  (JS Islamic Capital Preservation Allocation Plan VII)|Shariah Compliant Fund of Funds - CPPI|July 15, 2019|336,270
JS Islamic Income Fund|Shariah Compliant Income|June 05, 2013|2,860,394
JS Large Cap Fund|Equity|May 15, 2004|469,215
JS Value Fund|Equity|January 14, 1996|777,546
Unit Trust of Pakistan|Balanced|October 27, 1997|1,074,824
Sub Total|19,463,739||
Lakson Investments Limited|||
Lakson Asset Allocation Developed Markets Fund|Asset Allocation|October 10, 2011|1,032,094
Lakson Equity Fund|Equity|November 13, 2009|3,129,694
Lakson Income Fund|Income|November 13, 2009|5,111,433
Lakson Islamic Tactical Fund|Shariah Compliant Asset Allocation|October 10, 2011|486,998
Lakson Money Market Fund|Money Market|November 13, 2009|13,224,926
Lakson Tactical Fund|Asset Allocation|October 10, 2011|626,777
Sub Total|23,611,922||
MCB-Arif Habib Savings and Investments Limited|||
Alhamra Daily Dividend Fund|Shariah Compliant Income|April 10, 2018|1,460,244
Alhamra Islamic Active Allocation Fund (Alhamra Smart Portfolio)|Shariah Compliant Fund of Funds|June 11, 2021|189,637
Alhamra Islamic Asset Allocation Fund|Shariah Compliant Asset Allocation|April 22, 2006|2,329,869
Alhamra Islamic Income Fund|Shariah Compliant Income|June 19, 2011|7,083,167
Alhamra Islamic Money Market Fund (Formerly: MCB Pakistan Frequent Payout Fund)|Shariah Compliant Money Market|August 20, 2020|16,781,841
Alhamra Islamic Stock Fund|Shariah Compliant Equity|August 25, 2004|3,813,700
MCB Cash Management Optimizer|Money Market|October 01, 2009|33,060,639
MCB DCF Income Fund|Income|January 03, 2007|4,141,823
MCB Pakistan Asset Allocation Fund|Asset Allocation|March 17, 2008|1,007,343
MCB Pakistan Sovereign Fund|Income|March 01, 2003|740,181
MCB Pakistan Stock Market Fund|Equity|March 11, 2002|12,497,636
Pakistan Capital Market Fund|Balanced|January 24, 2004|465,897
Pakistan Cash Management Fund|Money Market|March 19, 2008|2,669,128
Pakistan Income Enhancement Fund|Aggressive Fixed Income|August 28, 2008|624,521
Pakistan Income Fund|Income|March 11, 2002|10,222,119
Sub Total|97,087,745||
National Investment Trust Limited|||
National Investment Unit Trust|Equity|November 12, 1962|63,262,869
NIT Asset Allocation Fund|Asset Allocation|April 09, 2020|657,241
NIT − Government Bond Fund|Income|November 18, 2009|3,343,033
NIT − Income Fund|Income|February 19, 2010|3,591,038
NIT Islamic Equity Fund|Shariah Compliant Equity|May 18, 2015|3,319,481
NIT Islamic Income Fund|Shariah Compliant Income|July 04, 2016|829,227
NIT Islamic Money Market Fund|Shariah Compliant Money Market|September 21, 2021|Not Published
NIT Money Market Fund (Formerly: NIT Government Treasury Fund)|Money Market|January 22, 2016|12,520,168
Sub Total|87,523,057||
NBP Fund Management Limited (Formerly: NBP Fullerton Asset Management Limited)|||
NAFA Islamic Active Allocation Plan I|Shariah Compliant Fund of Funds|January 18, 2016|17,658
NAFA Islamic Active Allocation Plan II|Shariah Compliant Fund of Funds|March 07, 2016|24,452
NAFA Islamic Active Allocation Plan III|Shariah Compliant Fund of Funds|June 29, 2016|130,263
NAFA Islamic Active Allocation Plan IV|Shariah Compliant Fund of Funds|October 01, 2016|136,845
NAFA Islamic Active Allocation Plan V|Shariah Compliant Fund of Funds|January 13, 2017|78,171
NAFA Islamic Active Allocation Plan VI|Shariah Compliant Fund of Funds|May 27, 2017|46,844
NAFA Islamic Active Allocation Plan VII|Shariah Compliant Fund of Funds|June 30, 2017|27,230
NAFA Islamic Active Allocation Plan VIII|Shariah Compliant Fund of Funds|November 03, 2017|56,156
NAFA Islamic Capital Preservation Plan I|Shariah Compliant Fund of Funds - CPPI|February 28, 2018|129,563
NAFA Islamic Capital Preservation Plan II|Shariah Compliant Fund of Funds - CPPI|April 27, 2018|90,605
NAFA Islamic Capital Preservation Plan III|Shariah Compliant Fund of Funds - CPPI|June 22, 2018|78,876
NAFA Islamic Capital Preservation Plan IV|Shariah Compliant Fund of Funds - CPPI|September 14, 2018|47,406
NBP Active Allocation Riba Free Savings Fund|Shariah Compliant Income|January 19, 2016|0
NBP Balanced Fund|Balanced|January 22, 2007|1,612,285
NBP Financial Sector Fund|Equity|February 14, 2018|443,853
NBP Financial Sector Income Fund|Income|October 28, 2011|46,381,614
NBP Government Securities Liquid Fund|Money Market|May 16, 2009|1,431,827
NBP Government Securities Savings Fund|Income|July 03, 2014|208,347
NBP Income Opportunity Fund|Income|April 22, 2006|9,327,561
NBP Islamic Capital Preservation Plan V|Shariah Compliant Fund of Funds - CPPI|December 18, 2018|53,204
NBP Islamic Daily Dividend Fund|Shariah Compliant Money Market|November 01, 2019|14,209,735
NBP Islamic Energy Fund|Shariah Compliant Equity|April 21, 2016|865,388
NBP Islamic Income Fund|Shariah Compliant Income|August 14, 2020|3,965,028
NBP Islamic Mahana Amdani Fund|Shariah Compliant Income|October 08, 2018|13,648,080
NBP Islamic Money Market Fund|Shariah Compliant Money Market|February 28, 2018|4,239,344
NBP Islamic Regular Income Fund|Shariah Compliant Asset Allocation|November 01, 2018|147,434
NBP Islamic Sarmaya Izafa Fund|Shariah Compliant Asset Allocation|October 29, 2007|5,544,864
NBP Islamic Savings Fund|Shariah Compliant Income|October 29, 2007|2,159,647
NBP Islamic Stock Fund|Shariah Compliant Equity|January 12, 2015|7,805,914
NBP Mahana Amdani Fund|Income|November 21, 2009|5,493,568
NBP Money Market Fund|Money Market|February 24, 2012|24,362,478
NBP Riba Free Savings Fund|Shariah Compliant Income|August 20, 2010|4,008,246
NBP Sarmaya Izafa Fund|Asset Allocation|August 20, 2010|1,436,395
NBP Savings Fund|Income|March 29, 2008|1,487,985
NBP Stock Fund|Equity|January 22, 2007|21,226,498
Sub Total|170,923,364||
Pak Oman Asset Management Company Limited|||
Askari Asset Allocation Fund|Asset Allocation|September 13, 2007|112,466
Askari High Yield Scheme|Aggressive Fixed Income|March 16, 2006|1,770,419
Askari Sovereign Cash Fund|Money Market|September 30, 2009|1,820,063
Askari Sovereign Yield Enhancer|Income|May 07, 2012|213,601
Pak Oman Advantage Asset Allocation Fund|Asset Allocation|October 30, 2008|97,767
Pak Oman Advantage Islamic Income Fund|Shariah Compliant Income|October 28, 2008|1,360,863
Pak Oman Government Securities Fund|Income|July 28, 2011|158,159
Pak Oman Islamic Asset Allocation Fund|Shariah Compliant Asset Allocation|October 28, 2008|193,141
Sub Total|5,726,480||
UBL Fund Managers Limited|||
Al Ameen Islamic Active Allocation Plan XI|Shariah Compliant Fund of Funds|April 05, 2019|38,090
Al Ameen Islamic Active Principal Preservation Plan IV|Shariah Compliant Fund of Funds - CPPI|December 18, 2018|99,273
Al Ameen Islamic Aggressive Income Fund|Shariah Compliant Aggressive Fixed Income|October 20, 2007|351,523
Al Ameen Islamic Aggressive Income Plan I|Shariah Compliant Aggressive Fixed Income|April 16, 2020|2,676,579
Al Ameen Islamic Asset Allocation Fund|Shariah Compliant Asset Allocation|December 11, 2013|2,571,859
Al Ameen Islamic Cash Fund|Shariah Compliant Money Market|September 19, 2012|6,308,441
Al Ameen Islamic Cash Plan I|Shariah Compliant Money Market|May 29, 2020|17,533,511
Al Ameen Islamic Energy Fund|Shariah Compliant Equity|December 13, 2019|416,090
Al Ameen Islamic Sovereign Fund|Shariah Compliant Income|November 07, 2010|2,714,890
Al Ameen Shariah Stock Fund|Shariah Compliant Equity|December 24, 2006|9,133,225
Al Ameen Special Savings Fund (AISSP II)|Shariah Compliant Capital Protected - Income|March 11, 2020|137,883
UBL Active Principal Preservation Plan III|Fund of Funds - CPPI|October 24, 2018|64,116
UBL Asset Allocation Fund|Asset Allocation|August 20, 2013|876,576
UBL Cash Fund|Money Market|September 23, 2019|5,580,572
UBL Financial Sector Fund|Equity|April 06, 2018|871,039
UBL Government Securities Fund|Income|July 27, 2011|2,099,771
UBL Growth & Income Fund (Formerly: United Growth & Income Fund)|Aggressive Fixed Income|March 02, 2006|1,974,369
UBL Income Opportunity Fund (UIOF) (Formerly: UBL Financial Sector Bond Fund)|Income|March 29, 2013|3,528,528
UBL Liquidity Plus Fund|Money Market|June 21, 2009|29,430,528
UBL Money Market Fund|Money Market|October 13, 2010|2,705,865
UBL Special Savings Plan I|Capital Protected - Income|November 09, 2018|276,674
UBL Special Savings Plan II|Capital Protected - Income|February 05, 2019|582,362
UBL Special Savings Plan III|Capital Protected - Income|April 17, 2019|48,409
UBL Special Savings Plan IV|Capital Protected - Income|May 30, 2019|170,438
UBL Special Savings Plan V|Capital Protected - Income|September 11, 2019|29,320
UBL Special Savings Plan VI|Capital Protected - Income|August 05, 2019|108,568
UBL Special Savings Plan VIII|Capital Protected - Income|February 10, 2020|137,966
UBL Stock Advantage Fund|Equity|August 04, 2006|8,104,771
Sub Total|98,571,236||
Grand Total|1,017,070,779||
0|1|2|3|4
Fund Name|Sub Funds|Category|Inception Date|July 2021 ( Rupees in '000 )
ABL Asset Management Company Limited||||
ABL Islamic Pension Fund||VPS-Shariah Compliant Debt|August 20, 2014|62,739
Sub Funds Total|62,739|||
ABL Islamic Pension Fund||VPS-Shariah Compliant Equity|August 20, 2014|115,266
ABL Islamic Pension Fund||VPS-Shariah Compliant Money Market|August 20, 2014|78,314
ABL Pension Fund||VPS-Debt|August 20, 2014|149,242
Sub Funds Total|342,822|||
ABL Pension Fund||VPS-Equity|August 20, 2014|161,283
ABL Pension Fund||VPS-Money Market|August 20, 2014|134,107
Sub Funds Total|295,390|||
Sub Total|700,951|||
Al Meezan Investment Management Limited||||
Meezan Tahaffuz Pension Fund||VPS-Shariah Compliant Commodities / Gold|August 04, 2016|119,173
Sub Funds Total|119,173|||
Meezan Tahaffuz Pension Fund||VPS-Shariah Compliant Debt|June 28, 2007|4,370,131
Meezan Tahaffuz Pension Fund||VPS-Shariah Compliant Equity|June 28, 2007|5,445,599
Meezan Tahaffuz Pension Fund||VPS-Shariah Compliant Money Market|June 28, 2007|3,390,765
Sub Funds Total|13,206,495|||
Sub Total|13,325,668|||
Alfalah GHP Investment Management Limited||||
Alfalah GHP Islamic Pension Fund||VPS-Shariah Compliant Debt|November 08, 2016|67,932
Sub Funds Total|67,932|||
Alfalah GHP Islamic Pension Fund||VPS-Shariah Compliant Equity|November 08, 2016|80,293
Alfalah GHP Islamic Pension Fund||VPS-Shariah Compliant Money Market|November 08, 2016|48,716
Alfalah GHP Pension Fund||VPS-Debt|November 08, 2016|63,901
Sub Funds Total|192,910|||
Alfalah GHP Pension Fund||VPS-Equity|November 08, 2016|55,826
Alfalah GHP Pension Fund||VPS-Money Market|November 08, 2016|78,657
Sub Funds Total|134,483|||
Sub Total|395,325|||
Atlas Asset Management Limited||||
Atlas Pension Fund||VPS-Debt|June 28, 2007|505,376
Sub Funds Total|505,376|||
Atlas Pension Fund||VPS-Equity|June 28, 2007|556,882
Atlas Pension Fund||VPS-Money Market|June 28, 2007|557,866
Atlas Pension Islamic Fund||VPS-Shariah Compliant Debt|November 06, 2007|455,137
Sub Funds Total|1,569,885|||
Atlas Pension Islamic Fund||VPS-Shariah Compliant Equity|November 06, 2007|593,817
Atlas Pension Islamic Fund||VPS-Shariah Compliant Money Market|November 06, 2007|589,613
Sub Funds Total|1,183,430|||
Sub Total|3,258,691|||
HBL Asset Management Limited||||
HBL Islamic Pension Fund||VPS-Shariah Compliant Debt|December 15, 2011|86,226
Sub Funds Total|86,226|||
HBL Islamic Pension Fund||VPS-Shariah Compliant Equity|December 15, 2011|190,931
HBL Islamic Pension Fund||VPS-Shariah Compliant Money Market|December 15, 2011|61,889
HBL Pension Fund||VPS-Debt|December 15, 2011|192,367
Sub Funds Total|445,187|||
HBL Pension Fund||VPS-Equity|December 15, 2011|210,948
HBL Pension Fund||VPS-Money Market|December 15, 2011|269,648
Sub Funds Total|480,596|||
Sub Total|1,012,009|||
JS Investments Limited||||
JS Islamic Pension Savings Fund||VPS-Shariah Compliant Debt|March 17, 2008|84,442
Sub Funds Total|84,442|||
JS Islamic Pension Savings Fund||VPS-Shariah Compliant Equity|March 17, 2008|129,137
JS Islamic Pension Savings Fund||VPS-Shariah Compliant Money Market|March 17, 2008|90,631
JS Pension Savings Fund||VPS-Debt|June 25, 2007|237,579
Sub Funds Total|457,347|||
